operator_id,calls_missed_ratio,avg_wait_time,calls_out_ratio,calls_in_ratio,internal_calls_ratio,crit_calls_missed,crit_wait_time,crit_low_outbound,crit_low_inbound,crit_high_internal,inefficiency_score,criterios_negativos,efficiency_class,uso_interno_excesivo,efficiency_binary
899906,0.0,19.0,0.0,100.0,0.0,0,0,1,0,0,1,1,Eficiente,False,1.0
899912,0.0,19.0,0.0,100.0,0.0,0,0,1,0,0,1,1,Eficiente,False,1.0
900180,0.0,36.0,99.46777054997044,0.5322294500295683,20.192307692307693,0,0,0,0,1,1,1,Eficiente,True,1.0
900192,0.0,5.0,50.0,50.0,0.0,0,0,0,0,0,0,0,Eficiente,False,1.0
900194,3.636363636363636,32.75,43.87755102040816,56.12244897959183,0.0,1,0,0,0,0,1,1,Eficiente,False,1.0
900352,0.546448087431694,55.21052631578947,62.65306122448979,37.3469387755102,0.0,1,1,0,0,0,2,2,Potencialmente ineficiente,False,
900354,2.112676056338028,51.48936170212766,77.05977382875606,22.940226171243943,0.0,1,1,0,0,0,2,2,Potencialmente ineficiente,False,
900458,0.0,9.0,96.55172413793105,3.4482758620689653,0.0,0,0,0,0,0,0,0,Eficiente,False,1.0
900492,5.88235294117647,17.0,93.22709163346612,6.772908366533864,0.0,1,0,0,0,0,1,1,Eficiente,False,1.0
900592,0.0,44.85,29.144385026737968,70.85561497326202,6.172839506172839,0,1,0,0,0,1,1,Eficiente,False,1.0
900594,0.0,18.25,85.53191489361703,14.468085106382976,0.0,0,0,0,0,0,0,0,Eficiente,False,1.0
900614,0.0,17.916666666666668,60.71428571428571,39.285714285714285,0.0,0,0,0,0,0,0,0,Eficiente,False,1.0
900742,0.0,31.444444444444443,42.10526315789473,57.89473684210527,5.88235294117647,0,0,0,0,0,0,0,Eficiente,False,1.0
900746,7.6923076923076925,55.54545454545455,65.33333333333333,34.66666666666667,10.0,1,1,0,0,0,2,2,Potencialmente ineficiente,False,
900788,0.8064516129032258,19.071428571428573,42.5925925925926,57.407407407407405,0.0,1,0,0,0,0,1,1,Eficiente,False,1.0
900790,0.0,46.375,55.55555555555556,44.44444444444444,0.0,0,1,0,0,0,1,1,Eficiente,False,1.0
900792,0.0,34.0,87.5,12.5,20.0,0,0,0,0,1,1,1,Eficiente,True,1.0
900826,0.0,19.695652173913043,85.57046979865773,14.429530201342285,0.0,0,0,0,0,0,0,0,Eficiente,False,1.0
900892,0.911854103343465,25.666666666666668,73.93026941362916,26.06973058637084,8.94308943089431,1,0,0,0,0,1,1,Eficiente,False,1.0
900894,0.9090909090909092,29.931818181818183,66.46341463414635,33.53658536585366,6.7164179104477615,1,0,0,0,0,1,1,Eficiente,False,1.0
901034,0.0,15.9,48.0,52.0,5.88235294117647,0,0,0,0,0,0,0,Eficiente,False,1.0
901038,0.0,28.5,86.8421052631579,13.157894736842104,34.61538461538461,0,0,0,0,1,1,1,Eficiente,True,1.0
901178,0.0,85.43333333333334,7.987220447284344,92.01277955271566,17.77777777777778,0,1,1,0,1,3,3,Ineficiente,True,0.0
901350,0.0,73.21875,0.0,100.0,0.0,0,1,1,0,0,2,2,Potencialmente ineficiente,False,
901492,0.0,30.20833333333333,9.090909090909092,90.9090909090909,0.0,0,0,1,0,0,1,1,Eficiente,False,1.0
901498,0.0,66.25,0.0,100.0,0.0,0,1,1,0,0,2,2,Potencialmente ineficiente,False,
901584,0.0,14.5,62.31884057971014,37.68115942028986,2.5,0,0,0,0,0,0,0,Eficiente,False,1.0
901586,0.0,11.62962962962963,69.62962962962963,30.37037037037037,1.694915254237288,0,0,0,0,0,0,0,Eficiente,False,1.0
901588,0.0,8.736842105263158,67.07317073170732,32.926829268292686,2.2222222222222223,0,0,0,0,0,0,0,Eficiente,False,1.0
901734,0.0,30.23076923076923,0.0,100.0,0.0,0,0,1,0,0,1,1,Eficiente,False,1.0
901880,0.547945205479452,88.5925925925926,56.41270599474564,43.58729400525436,12.251655629139073,1,1,0,0,0,2,2,Potencialmente ineficiente,False,
901884,0.1766784452296819,80.8,78.14671814671814,21.853281853281853,21.671826625387,1,1,0,0,1,3,3,Ineficiente,True,0.0
901886,0.0,54.22,90.82745349583064,9.17254650416934,5.161290322580645,0,1,0,0,0,1,1,Eficiente,False,1.0
901894,0.0,82.44444444444444,0.0,100.0,0.0,0,1,1,0,0,2,2,Potencialmente ineficiente,False,
901992,0.0,13.0,98.38709677419357,1.6129032258064515,0.0,0,0,0,0,0,0,0,Eficiente,False,1.0
901996,0.0,43.0,89.65517241379311,10.344827586206897,20.0,0,0,0,0,1,1,1,Eficiente,True,1.0
902238,0.0,8.0,50.0,50.0,0.0,0,0,0,0,0,0,0,Eficiente,False,1.0
902510,1.639344262295082,157.96153846153845,93.78818737270876,6.211812627291242,0.8264462809917356,1,1,0,0,0,2,2,Potencialmente ineficiente,False,
902532,0.4184100418410041,119.70588235294116,78.39059674502712,21.609403254972875,6.363636363636363,1,1,0,0,0,2,2,Potencialmente ineficiente,False,
902608,0.0,27.4,94.39655172413794,5.603448275862069,22.727272727272727,0,0,0,0,1,1,1,Eficiente,True,1.0
902720,0.0,47.36363636363637,95.90739975196362,4.092600248036379,6.349206349206349,0,1,0,0,0,1,1,Eficiente,False,1.0
902906,0.0,21.23076923076923,0.0,100.0,0.0,0,0,1,0,0,1,1,Eficiente,False,1.0
902910,3.571428571428571,36.8,0.0,100.0,0.0,1,0,1,0,0,2,2,Potencialmente ineficiente,False,
903254,0.0,59.91304347826087,85.77283372365339,14.227166276346605,0.4524886877828055,0,1,0,0,0,1,1,Eficiente,False,1.0
903292,0.0,73.625,87.75510204081633,12.244897959183673,0.0,0,1,0,0,0,1,1,Eficiente,False,1.0
903312,1.574803149606299,42.86538461538461,29.444444444444446,70.55555555555556,8.974358974358974,1,0,0,0,0,1,1,Eficiente,False,1.0
903318,1.0676156583629894,45.14035087719298,80.74023303632625,19.259766963673748,12.953367875647666,1,1,0,0,0,2,2,Potencialmente ineficiente,False,
903390,0.0,20.285714285714285,0.0,100.0,0.0,0,0,1,0,0,1,1,Eficiente,False,1.0
903512,0.0,70.0,0.0,100.0,17.647058823529413,0,1,1,0,0,2,2,Potencialmente ineficiente,False,
903974,0.0,83.5,0.0,100.0,0.0,0,1,1,0,0,2,2,Potencialmente ineficiente,False,
903976,0.0,21.0,0.0,100.0,0.0,0,0,1,0,0,1,1,Eficiente,False,1.0
903978,0.0,38.0,60.0,40.0,50.0,0,0,0,0,1,1,1,Eficiente,True,1.0
904014,0.0,38.92307692307692,96.8217054263566,3.1782945736434107,2.941176470588235,0,0,0,0,0,0,0,Eficiente,False,1.0
904016,4.0,35.61538461538461,98.9431409849926,1.056859015007398,3.333333333333333,1,0,0,0,0,1,1,Eficiente,False,1.0
904038,0.4329004329004329,52.65384615384615,31.75775480059084,68.24224519940915,0.5988023952095809,1,1,0,0,0,2,2,Potencialmente ineficiente,False,
904044,0.9259259259259258,46.85714285714285,17.557251908396946,82.44274809160305,0.0,1,1,1,0,0,3,3,Ineficiente,False,0.0
904058,0.0,18.294117647058822,0.0,100.0,0.0,0,0,1,0,0,1,1,Eficiente,False,1.0
904200,0.0,24.33333333333333,58.82352941176471,41.17647058823529,18.181818181818183,0,0,0,0,1,1,1,Eficiente,True,1.0
904202,0.0,13.5,97.08333333333331,2.9166666666666665,12.0,0,0,0,0,0,0,0,Eficiente,False,1.0
904204,0.0,40.25,91.52542372881356,8.47457627118644,12.5,0,0,0,0,0,0,0,Eficiente,False,1.0
904284,0.0,25.103448275862068,0.0,100.0,0.0,0,0,1,0,0,1,1,Eficiente,False,1.0
904344,25.0,27.5,55.55555555555556,44.44444444444444,33.33333333333333,1,0,0,0,1,2,2,Potencialmente ineficiente,True,
904372,0.0,34.0,0.0,100.0,0.0,0,0,1,0,0,1,1,Eficiente,False,1.0
905082,0.0,34.0,0.0,100.0,0.0,0,0,1,0,0,1,1,Eficiente,False,1.0
905104,2.027027027027027,81.12698412698413,38.71635610766045,61.28364389233955,17.6056338028169,1,1,0,0,0,2,2,Potencialmente ineficiente,False,
905300,8.0,34.5,0.0,100.0,0.0,1,0,1,0,0,2,2,Potencialmente ineficiente,False,
905430,1.0416666666666663,41.625,88.66587957497049,11.334120425029516,4.0,1,0,0,0,0,1,1,Eficiente,False,1.0
905432,0.0,10.666666666666666,98.3739837398374,1.6260162601626018,3.333333333333333,0,0,0,0,0,0,0,Eficiente,False,1.0
905472,0.0,21.0,90.0,10.0,75.0,0,0,0,0,1,1,1,Eficiente,True,1.0
905478,0.0,36.0,0.0,100.0,0.0,0,0,1,0,0,1,1,Eficiente,False,1.0
905538,0.819672131147541,79.51851851851852,92.85086434222092,7.14913565777908,31.428571428571427,1,1,0,0,1,3,3,Ineficiente,True,0.0
905542,2.564102564102564,43.1,94.43387250237868,5.566127497621313,22.748815165876778,1,1,0,0,1,3,3,Ineficiente,True,0.0
905564,1.7543859649122806,45.45161290322581,92.41011984021304,7.589880159786951,42.5,1,1,0,0,1,3,3,Ineficiente,True,0.0
905566,2.272727272727273,31.08695652173913,95.13812154696132,4.861878453038674,37.30569948186528,1,0,0,0,1,2,2,Potencialmente ineficiente,True,
905574,0.0,14.0,99.07407407407408,0.9259259259259258,65.45454545454545,0,0,0,0,1,1,1,Eficiente,True,1.0
905842,0.0,115.5,99.80638915779284,0.1936108422071636,0.0,0,1,0,0,0,1,1,Eficiente,False,1.0
905844,0.0,13.583333333333334,98.755980861244,1.244019138755981,0.0,0,0,0,0,0,0,0,Eficiente,False,1.0
905862,2.941176470588235,31.486486486486488,0.9708737864077668,99.02912621359224,0.0,1,0,1,0,0,2,2,Potencialmente ineficiente,False,
905870,0.0,54.54838709677419,79.62962962962963,20.37037037037037,0.0,0,1,0,0,0,1,1,Eficiente,False,1.0
905930,0.0,13.333333333333334,82.80098280098281,17.1990171990172,13.91304347826087,0,0,0,0,0,0,0,Eficiente,False,1.0
905932,0.0,11.52,90.27027027027027,9.72972972972973,13.274336283185844,0,0,0,0,0,0,0,Eficiente,False,1.0
905934,0.0,9.0,95.23809523809524,4.761904761904762,20.0,0,0,0,0,1,1,1,Eficiente,True,1.0
